Title,Author,Release Date,Rating
One Piece (1997),Wan Pīsu,Sortie : 20 septembre 2000 (France).,7.7
Golgo 13 (1968),Gorugo Sātīn,Sortie : 29 novembre 1968 (France).,8.6
Dragon Ball (1984),Doragon Bōru,Sortie : février 1993 (France).,8.1
Naruto (1999),Kochira Katsushika-ku Kameari Kōen-mae Hashutsujo,Sortie : 9 mars 2002 (France).,6.6
Kochikame (1976),Meitantei Konan,Sortie : septembre 1976 (France).,7.1
Détective Conan (1994),Suramu Danku,Sortie : 2 février 1994.,6.8
Oishinbo (1984),Tetsuwan Atomu,Sortie : 1984 (France).,7.1
Slam Dunk (1990),Hokuto no Ken,Sortie : 18 septembre 1990.,8
Astro Boy (1952),Tacchi,Sortie : 3 avril 1952.,7
Doraemon (1969),JoJo no Kimyō na Bōken,Sortie : 8 août 1969.,7.3
Ken le survivant (1983),Hajime no Ippo,Sortie : août 1999 (France).,7.4
Touch (1981),Kindaichi Shōnen no Jikenbo,Sortie : 1981.,7.9
JoJo's Bizarre Adventure (1986),Burīchi,Sortie : 2 juillet 2014 (France).,8.1
Ippo (1989),Kyaputen Tsubasa,Sortie : 27 septembre 1989.,7.8
Les Enquêtes de Kindaichi (1992),Bagabondo,Sortie : 1 septembre 2004 (France).,5.6
Sazae-San (1946),Kinnikuman,Sortie : 1946 (France).,6.3
Bleach (2001),Rurōni Kenshin,Sortie : 19 mars 2003 (France).,6.4
Captain Tsubasa (1981),Hantā Hantā,Sortie : 1981 (France).,6.5
Vagabond (1998),Hagane no Renkinjutsushi,Sortie : 24 mars 2001 (France).,8.2
Muscleman (1979),Shingeki no Kyojin,Sortie : 15 mai 1979 (Japon).,6.1
Kenshin le vagabond (1994),Nijūseiki Shōnen,Sortie : 25 septembre 1998 (France).,7.1
Hunter X Hunter (1998),Beruseruku,Sortie : 15 février 2000 (France).,7.6
Fullmetal Alchemist (2001),Desu Nōto,Sortie : 8 septembre 2005 (France).,8
L'Attaque des Titans (2009),Fearī Teiru,Sortie : 26 juin 2013 (France).,7.5
20th Century Boys (2000),Nanatsu no taizai,Sortie : 28 mars 2002 (France).,8.3
Berserk (1989),Wanpanman,Sortie : mars 1996 (France).,8.5
